DEA results for the output oriented CCR model

CCR model

DMU name      Input_1     Input_2     Input_3    output_1    output_2   lambda_ 1   lambda_ 2   lambda_ 3   lambda_ 4   lambda_ 5   lambda_ 6   lambda_ 7   lambda_ 8   lambda_ 9   lambda_10   lambda_11   lambda_12   x_slack_1   x_slack_2   x_slack_3   y_slack_1   y_slack_2   Theta
DMU_ 1        2.00        3.00        4.00        3.00        2.00        0.00        0.67        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.33        0.00        1.67        0.00    1.33 
DMU_ 2        3.00        2.00        6.00        6.00        6.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_ 3        6.00        6.00        3.00        9.00        1.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_ 4        9.00        1.00        2.00        5.00        9.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_ 5        5.00        9.00        5.00        4.00        3.00        0.00        0.75        0.06        0.00        0.00        0.00        0.00        0.34        0.00        0.00        0.00        0.00        0.00        0.00        0.00        5.09        0.00    1.85 
DMU_ 6        4.00        3.00        3.00        2.00        2.00        0.00        0.41        0.00        0.17        0.00        0.00        0.00        0.17        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.97        0.00    2.28 
DMU_ 7        5.00        2.00        6.00        5.00        1.00        0.00        0.67        0.00        0.00        0.00        0.00        0.00        0.00        0.33        0.00        0.00        0.00        0.00        3.33        0.00        0.00        0.67    1.33 
DMU_ 8        7.00        6.00        1.00        7.00        3.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_ 9        9.00        2.00        4.00        8.00        2.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_10        6.00        9.00        9.00        3.00        2.00        0.00        1.33        0.33        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.00        0.00        4.33        0.00    3.67 
DMU_11        8.00        3.00        2.00        1.00        1.00        0.00        0.00        0.20        0.60        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    6.20 
DMU_12       10.00        3.00        3.00        7.00        4.00        0.00        0.00        0.00        0.43        0.00        0.00        0.00        0.27        0.46        0.00        0.00        0.00        0.00        1.20        0.00        0.00        0.00    1.11 
