DEA results for the input oriented CCR model

CCR model

DMU name      Input_1     Input_2    output_1    output_2   lambda_ 1   lambda_ 2   lambda_ 3   lambda_ 4   lambda_ 5   lambda_ 6   lambda_ 7   lambda_ 8   lambda_ 9   lambda_10   lambda_11   lambda_12   lambda_13   lambda_14   lambda_15   lambda_16   lambda_17   lambda_18   lambda_19   lambda_20   lambda_21   lambda_22   lambda_23   lambda_24   lambda_25   lambda_26   lambda_27   lambda_28   lambda_29   lambda_30   lambda_31   lambda_32   lambda_33   lambda_34   lambda_35   lambda_36   lambda_37   lambda_38   lambda_39   lambda_40   lambda_41   lambda_42   lambda_43   lambda_44   lambda_45   lambda_46   lambda_47   lambda_48   lambda_49   lambda_50   x_slack_1   x_slack_2   y_slack_1   y_slack_2   Theta
DMU_ 1        0.49      233.34        4.62        0.15        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_ 2        0.55      179.77        1.54        0.36        0.00        0.00        0.00        0.12        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.05        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.53        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.64 
DMU_ 3        0.66      256.98        4.62        0.27        0.00        0.00        0.00        0.36        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.64        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       23.45    0.84 
DMU_ 4        0.57      193.61        4.62        0.36        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_ 5        0.60      200.00        1.75        0.26        0.00        0.00        0.00        0.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.28        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.50 
DMU_ 6        0.69      166.19        1.59        0.19        0.00        0.00        0.00        0.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.16        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.07        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.39 
DMU_ 7        0.53      257.25        2.67        0.41        0.00        0.00        0.00        0.40        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.47        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       64.17    0.88 
DMU_ 8        0.53      294.26        2.10        0.31        0.00        0.00        0.00        0.33        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.34        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       72.73    0.67 
DMU_ 9        0.69      203.79        1.96        0.39        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.14        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.48        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.61 
DMU_10        0.76      153.89        1.80        0.30        0.00        0.00        0.00        0.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.31        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.19        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.49 
DMU_11        0.57      214.52        1.99        0.27        0.00        0.00        0.00        0.33        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        9.93    0.56 
DMU_12        0.73      186.42        1.89        0.28        0.00        0.00        0.00        0.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.19        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.48 
DMU_13        0.65      218.08        2.37        0.29        0.00        0.00        0.00        0.42        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.23        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.56 
DMU_14        0.52      180.33        2.07        0.25        0.00        0.00        0.00        0.37        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.60 
DMU_15        0.60      178.57        4.62        0.02        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_16        0.56      161.43        1.50        0.33        0.00        0.00        0.00        0.12        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.13        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.43        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.61 
DMU_17        0.81      152.59        1.56        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.27        0.00        0.00        0.00        0.00        0.00        0.19        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.08        0.00        0.00    0.32 
DMU_18        0.55      219.25        2.09        0.35        0.00        0.00        0.00        0.29        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.45        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       18.44    0.69 
DMU_19        0.74      171.37        1.71        0.29        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.24        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.24        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.48 
DMU_20        0.59      183.40        1.47        0.24        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.47 
DMU_21        0.49        0.00        1.57        0.37        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    1.00 
DMU_22        0.65      225.62        2.18        0.71        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.03        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.26        0.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.00    0.98 
DMU_23        0.68      201.42        1.84        0.30        0.00        0.00        0.00        0.25        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.11        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.31        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.51 
DMU_24        0.61      179.42        1.92        0.37        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.13        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.46        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.67 
DMU_25        0.52      206.55        1.72        0.33        0.00        0.00        0.00        0.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.46        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       14.74    0.65 
DMU_26        0.53      207.07        2.08        0.31        0.00        0.00        0.00        0.32        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.35        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       16.32    0.68 
DMU_27        0.45      226.77        1.79        0.41        0.00        0.00        0.00        0.15        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.64        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       59.71    0.89 
DMU_28        0.49      214.70        3.58        0.36        0.00        0.00        0.00        0.70        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       46.79    1.02 
DMU_29        0.55      185.09        2.35        0.40        0.00        0.00        0.00        0.31        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.04        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.50        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.80 
DMU_30        0.52      185.30        1.68        0.40        0.00        0.00        0.00        0.12        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.65        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.74 
